0_answers,0_clear_goals,0_course_name,0_course_rate,0_course_requirements,0_dept,0_feedback,0_hrs_week,0_level,0_num,0_prof,0_prof_interest,0_respect,0_semester,0_students,0_subject_importance,0_subject_matter,0_teaching_rate,0_year,1_answers,1_clear_goals,1_course_name,1_course_rate,1_course_requirements,1_dept,1_feedback,1_hrs_week,1_level,1_num,1_prof,1_prof_interest,1_respect,1_semester,1_students,1_subject_importance,1_subject_matter,1_teaching_rate,1_year,2_answers,2_clear_goals,2_course_name,2_course_rate,2_course_requirements,2_dept,2_feedback,2_hrs_week,2_level,2_num,2_prof,2_prof_interest,2_respect,2_semester,2_students,2_subject_importance,2_subject_matter,2_teaching_rate,2_year
86,4.140697674418605,GENETICS,3.8234883720930233,4.127906976744186,BSC,3.786279069767442,7.686046511627907,Undergraduate,03220,"MCMANUS, CHARLES",4.223953488372093,4.464186046511627,Fall,160,4.177906976744186,3.834883720930232,3.7930232558139534,2017,86,4.245581395348837,GENETICS,3.827441860465116,4.194883720930233,BSC,4.013488372093024,7.619069767441861,Undergraduate,03220,"LOPEZ, ANTONIO-JAVIER",4.255116279069767,4.514883720930233,Fall,160,4.383023255813954,3.909302325581395,3.886279069767442,2017,65,4.12,GENETICS,3.73,4.17,BSC,4.0,9.17,Undergraduate,03220,"MCMANUS, CHARLES",4.48,4.58,Fall,90,4.23,3.98,3.9400000000000004,2016
24,3.1300000000000003,BIOCHEMISTRY I,3.2099999999999995,3.4599999999999995,BSC,2.8800000000000003,8.88,Undergraduate,03231,"HACKNEY, DAVID",3.5,4.25,Spring,48,3.58,3.0400000000000005,2.83,2017,5,4.4,BIOCHEMISTRY I,3.6,4.2,BSC,4.0,9.2,Undergraduate,03231,"LEE, CHRISTINA",4.6,4.6,Fall,12,4.4,4.4,4.2,2015,5,3.2,BIOCHEMISTRY I,2.4,3.2,BSC,3.2,8.0,Undergraduate,03231,"HACKNEY, DAVID",3.2,3.6,Fall,12,3.2,3.2,2.6,2015
24,4.61,BIOCHEMISTRY I,4.04,4.58,BSC,4.38,8.5,Undergraduate,03231,"LEE, CHRISTINA",4.75,4.79,Spring,48,4.58,4.54,4.5,2017,24,3.1300000000000003,BIOCHEMISTRY I,3.2099999999999995,3.4599999999999995,BSC,2.8800000000000003,8.88,Undergraduate,03231,"HACKNEY, DAVID",3.5,4.25,Spring,48,3.58,3.0400000000000005,2.83,2017,5,4.4,BIOCHEMISTRY I,3.6,4.2,BSC,4.0,9.2,Undergraduate,03231,"LEE, CHRISTINA",4.6,4.6,Fall,12,4.4,4.4,4.2,2015
12,4.83,BIOCHEMISTRY I,4.83,4.92,BSC,4.75,11.33,Undergraduate,03232,"RULE, GORDON",4.92,4.92,Fall,14,4.92,4.92,4.92,2016,53,4.73,BIOCHEMISTRY I,4.51,4.66,BSC,4.47,8.23,Undergraduate,03232,"RULE, GORDON",4.77,4.75,Spring,106,4.55,4.58,4.57,2015,8,5.0,BIOCHEMISTRY I,4.88,5.0,BSC,5.0,10.75,Undergraduate,03232,"RULE, GORDON",5.0,5.0,Fall,13,5.0,5.0,4.88,2015
73,4.61,BIOCHEMISTRY I,4.31,4.68,BSC,4.47,8.88,Undergraduate,03232,"RULE, GORDON",4.73,4.78,Spring,148,4.6,4.76,4.67,2016,12,4.83,BIOCHEMISTRY I,4.83,4.92,BSC,4.75,11.33,Undergraduate,03232,"RULE, GORDON",4.92,4.92,Fall,14,4.92,4.92,4.92,2016,53,4.73,BIOCHEMISTRY I,4.51,4.66,BSC,4.47,8.23,Undergraduate,03232,"RULE, GORDON",4.77,4.75,Spring,106,4.55,4.58,4.57,2015
7,5.0,BIOCHEMISTRY I,4.57,4.86,BSC,4.57,7.57,Undergraduate,03232,"RULE, GORDON",5.0,5.0,Fall,20,4.71,5.0,5.0,2017,73,3.19,BIOCHEMISTRY I,3.25,3.34,BSC,3.0,8.46,Undergraduate,03232,"VISOMIRSKI-ROBIC, LINDA",3.56,4.09,Spring,148,3.09,2.54,2.63,2016,73,4.61,BIOCHEMISTRY I,4.31,4.68,BSC,4.47,8.88,Undergraduate,03232,"RULE, GORDON",4.73,4.78,Spring,148,4.6,4.76,4.67,2016
11,4.73,CELL BIOLOGY,4.64,4.82,BSC,4.36,11.36,Undergraduate,03240,"BOUAOUINA, MOHAMED",5.0,4.91,Spring,15,4.73,4.82,4.64,2017,19,4.53,CELL BIOLOGY,3.9499999999999997,4.42,BSC,3.84,8.5,Undergraduate,03240,"LINSTEDT, ADAM",4.37,4.42,Spring,30,4.47,4.21,4.05,2016,11,4.36,CELL BIOLOGY,4.55,4.36,BSC,3.9100000000000006,8.27,Undergraduate,03240,"BOUAOUINA, MOHAMED",4.55,4.73,Spring,14,4.18,4.64,4.45,2016
12,4.36,INTR COMPTNL BIOLGY,3.91,4.45,BSC,4.09,6.36,Undergraduate,03250,"MURPHY, ROBERT",4.45,4.36,Spring,29,4.27,4.27,4.09,2016,19,3.63,INTR COMPTNL BIOLGY,3.4200000000000004,3.68,BSC,3.37,7.840000000000001,Undergraduate,03250,"SCHWARTZ, RUSSELL",3.74,4.21,Spring,41,3.5799999999999996,3.5799999999999996,3.4200000000000004,2015,19,4.0,INTR COMPTNL BIOLGY,3.5799999999999996,3.7900000000000005,BSC,3.63,8.32,Undergraduate,03250,"MURPHY, ROBERT",4.05,4.11,Spring,41,3.84,3.7900000000000005,3.8899999999999997,2015
12,4.42,INTR COMPTNL BIOLGY,4.17,4.67,BSC,4.0,7.5,Undergraduate,03250,"SCHWARTZ, RUSSELL",4.33,4.75,Spring,29,4.33,4.17,4.25,2016,12,4.36,INTR COMPTNL BIOLGY,3.91,4.45,BSC,4.09,6.36,Undergraduate,03250,"MURPHY, ROBERT",4.45,4.36,Spring,29,4.27,4.27,4.09,2016,19,3.63,INTR COMPTNL BIOLGY,3.4200000000000004,3.68,BSC,3.37,7.840000000000001,Undergraduate,03250,"SCHWARTZ, RUSSELL",3.74,4.21,Spring,41,3.5799999999999996,3.5799999999999996,3.4200000000000004,2015
19,3.5799999999999996,INTR COMPTNL BIOLGY,2.84,3.53,BSC,3.53,14.37,Undergraduate,03250,"MURPHY, ROBERT",4.11,4.58,Spring,36,3.7900000000000005,3.47,3.53,2017,12,4.42,INTR COMPTNL BIOLGY,4.17,4.67,BSC,4.0,7.5,Undergraduate,03250,"SCHWARTZ, RUSSELL",4.33,4.75,Spring,29,4.33,4.17,4.25,2016,12,4.36,INTR COMPTNL BIOLGY,3.91,4.45,BSC,4.09,6.36,Undergraduate,03250,"MURPHY, ROBERT",4.45,4.36,Spring,29,4.27,4.27,4.09,2016
19,4.05,INTR COMPTNL BIOLGY,3.68,4.0,BSC,3.8899999999999997,10.58,Undergraduate,03250,"SCHWARTZ, RUSSELL",4.11,4.63,Spring,36,3.9499999999999997,4.11,3.8899999999999997,2017,19,3.5799999999999996,INTR COMPTNL BIOLGY,2.84,3.53,BSC,3.53,14.37,Undergraduate,03250,"MURPHY, ROBERT",4.11,4.58,Spring,36,3.7900000000000005,3.47,3.53,2017,12,4.42,INTR COMPTNL BIOLGY,4.17,4.67,BSC,4.0,7.5,Undergraduate,03250,"SCHWARTZ, RUSSELL",4.33,4.75,Spring,29,4.33,4.17,4.25,2016
4,4.25,UNDGRAD COLLQM JUNR,3.75,4.5,BSC,3.5,2.0,Undergraduate,03301,"CAMPANARO, BECKI",4.25,4.25,Fall,7,4.0,3.75,4.0,2017,1,5.0,UNDGRAD COLLQM JUNR,5.0,5.0,BSC,5.0,2.0,Undergraduate,03301,"CAMPANARO, BECKI",5.0,5.0,Fall,4,5.0,5.0,5.0,2016,4,4.75,UNDGRAD COLLQM JUNR,4.25,4.75,BSC,4.5,2.0,Undergraduate,03301,"CAMPANARO, BECKI",4.5,4.25,Fall,8,4.5,4.5,4.5,2015
20,4.55,EXPERMNTL BIOCHEMTRY,4.47,4.45,BSC,4.6,16.7,Undergraduate,03344,"DOONAN, CARRIE",4.7,4.5,Spring,36,4.7,4.65,4.55,2016,11,4.73,EXPERMNTL BIOCHEMTRY,4.55,4.64,BSC,4.55,16.18,Undergraduate,03344,"VINCENT, ANNETTE",4.73,4.8,Spring,15,4.73,4.82,4.64,2015,10,5.0,EXPERMNTL BIOCHEMTRY,5.0,5.0,BSC,5.0,17.22,Undergraduate,03344,"DOONAN, CARRIE",5.0,4.9,Spring,21,5.0,5.0,5.0,2015
