cnt,course_cmu_id,course_piazza_id,name,prof,term,course_id,stats_i_answers,stats_net_time,stats_posts,stats_questions,stats_response_time,stats_s_answers,top_user_0_answers,top_user_0_asks,top_user_0_days,top_user_0_posts,top_user_0_user_id,top_user_0_views,top_user_1_answers,top_user_1_asks,top_user_1_days,top_user_1_posts,top_user_1_user_id,top_user_1_views,top_user_2_answers,top_user_2_asks,top_user_2_days,top_user_2_posts,top_user_2_user_id,top_user_2_views
118,18-600,jbeqp1099p75hl,Foundations of Computer Systems,"John Paul Shen, Bill Nace, Abhinav Jauhri, Swetha Mandava, Brittany Jade Reyes, Michelle Mahouski, Tyler Nuanes, Jiahui Lao, Shreeja Visweswaraiah, Kevin Zheng, Hancheng Zhong, Cathy Bishop, Saugata Ghose",Spring 2018,jbeqp1099p75hl,359.0,0,1390,405,393.0,94,39.0,18.0,103.0,95.0,jbsaeyq3nfd18s,273.0,11.0,19.0,108.0,53.0,jc6k6wuutge1ox,224.0,0.0,12.0,108.0,42.0,jc6k6xiswwr1pa,271.0
64,16-385,jbfezjo9yao2jj,Computer Vision,Ioannis Gkioulekas,Spring 2018,jbfezjo9yao2jj,235.0,0,1060,356,7020.0,83,12.0,50.0,92.0,89.0,ipbrvnaw60o4ct,248.0,5.0,23.0,100.0,89.0,iayosqs1pjggl,163.0,22.0,26.0,110.0,60.0,ipbrvu4b4kj4kb,234.0
10,02-715,jbfiq6fpcw1734,Advanced Topics in Computational Genomics,Heewook Lee,Spring 2018,jbfiq6fpcw1734,7.0,0,195,132,,1,1.0,7.0,104.0,33.0,isbx57rqebydr,47.0,0.0,5.0,45.0,27.0,hc7twma6oa4606,67.0,0.0,1.0,40.0,27.0,ij6f3czlxij38,65.0
76,18652,jbh1pvn6na67gb,Foundations of Software Engineering,Lenah Chacha,Spring 2018,jbh1pvn6na67gb,88.0,0,509,136,1608.0,13,2.0,10.0,47.0,27.0,isfrs9b0l9z1v0,58.0,0.0,5.0,89.0,20.0,j5s4v04fp3tjb,121.0,0.0,2.0,63.0,14.0,jbsaev1r95a15z,85.0
14,66113,jbh26yk21lt11g,DC Freshman Seminar: The Neuroscience and Psychology of Everyday Life,Lori Holt,Spring 2018,jbh26yk21lt11g,,0,5,5,,0,,,,,,,,,,,,,,,,,,
59,18-660,jbnqmxxk2no4t3,Optimization,"Giulia Fanti, Mark Cheung, Satwik Kottur, Jian Wang",Spring 2018,jbnqmxxk2no4t3,156.0,0,552,152,3111.0,12,0.0,10.0,89.0,31.0,j6tlja1ukhr6l,109.0,2.0,14.0,107.0,29.0,iy0vm4j4blwvu,112.0,2.0,9.0,70.0,24.0,j6wdsvb51vv5kv,109.0
89,21260,jbnt6tvbfnu3my,Differential Equations,"Vikramadhitya Cherupally, Junichi Koganemaru, Hao Wu, Mochong Duan, Zhuoyang Li",Spring 2018,jbnt6tvbfnu3my,19.0,0,40,16,955.0,0,,,,,,,,,,,,,,,,,,
7,15-312q,jbnyzdfe1gy5p1,Foundations of Programming Languages,Giselle Reis,Spring 2018,jbnyzdfe1gy5p1,22.0,0,91,46,5686.0,1,,,,,,,,,,,,,,,,,,
38,15-110q,jbnz16wk76y6cc,Principles of Computing,Giselle Reis,Spring 2018,jbnz16wk76y6cc,79.0,0,239,107,2584.0,0,0.0,32.0,75.0,43.0,j6n5jml4cRH,87.0,0.0,16.0,20.0,23.0,jchtbn7ian15pa,73.0,0.0,3.0,14.0,7.0,j6l7ws9jJTm,25.0
10,48215,jbpkf29paap7kh,Materials and Assembly,Phillip Kuehne,Spring 2018,jbpkf29paap7kh,,0,5,5,,0,,,,,,,,,,,,,,,,,,
7,76101-X-XX,jbpuxq55c9360a,Interpretation and Argument,Prof. Adam Hodges,Spring 2018,jbpuxq55c9360a,,0,6,6,,0,,,,,,,,,,,,,,,,,,
4,45825-E3,jbqzvwvpqdfn2,International Finance 17-18 E3,None,Spring 2018,jbqzvwvpqdfn2,,0,5,5,,0,,,,,,,,,,,,,,,,,,
50,18731,jbs4907vxy166,Network Security,Vyas Sekar,Spring 2018,jbs4907vxy166,86.0,0,404,147,3634.0,22,5.0,9.0,101.0,29.0,ioa6unmaayx15i,112.0,7.0,3.0,91.0,25.0,j6jsxcawhlz6fu,110.0,0.0,5.0,80.0,14.0,j6jsxbn3fm26fd,111.0
0,82474,jbsfohiuik14dw,Japanese Language and Culture from a Pragmatics Perspective,None,Spring 2018,jbsfohiuik14dw,,0,5,5,,0,,,,,,,,,,,,,,,,,,
223,73103,jbthlii8k6w7hw,Principles of Macroeconomics,"Chris Sleet, Majid Mahzoon, Andre Mouton, Majid Mahzoon, Mallika Khanna, Kathleen Conway, Rachel Szymanski, Carol Goldburg",Spring 2018,jbthlii8k6w7hw,86.0,0,390,179,3449.0,21,0.0,16.0,18.0,16.0,j4kh2z3xghz7dv,80.0,2.0,10.0,74.0,13.0,j6sb0d8afznxg,121.0,1.0,11.0,56.0,13.0,j4kh38bb1nk7jd,124.0
52,85251-A,jbttktqidh885,Personality - Intro to Personality,None,Spring 2018,jbttktqidh885,,0,14,12,,0,,,,,,,,,,,,,,,,,,
111,36-350,jbv78ny2lsz1ok,Statistical Computing,Ryan Tibshirani,Spring 2018,jbv78ny2lsz1ok,273.0,0,1452,474,1272.0,272,5.0,80.0,62.0,135.0,iprn5pp2g8w1i1,339.0,91.0,2.0,88.0,118.0,iprn45mhrfr7nq,386.0,74.0,7.0,104.0,108.0,ic1c7vca3zq5me,303.0
